01А	Автоматика и телемеханика
22Д	Гидроэнергетика
22Е	Электрические станции и сети
22Ж	Энергетические системы и их автоматизация
22Р	Котельные установки и водоподготовка
22С	Тепловые электростанции. Теплоснабжение
22Т	Общие вопросы энергетики. Энергетический баланс. Топливо
22У	Атомная энергетика
22Ф	Генераторы прямого преобразования тепловой и химической энергии в электрическую
22Ш	Теоретические основы теплотехники. Промышленная теплотехника
23АБ	Электровакуумные и твердотельные приборы. Приборы микро- и наноэлектроники
23Г	Материалы для микро- и наноэлектроники
23Д	Квантовая электроника. Криоэлектроника. Голография
24А	Теоретическая радиотехника. Антенны. Волноводы. Объемные резонаторы. Распространение радиоволн
24В	Радиолокация. Радионавигация. Радиоуправление. Телевизионная техника
24Е	Радиопередающие и радиоприемные устройства. Запись и воспроизведение сигналов. Радиотехническое производство
27	Пожарная охрана
29А	Сети и системы связи
29Б	Радиосвязь, радиовещание, телевидение
29В	Волоконно-оптическая связь
31	Взаимодействие разных видов транспорта, логистика и контейнерные перевозки
32	Метрология и измерительная техника
33	Коммунальное, бытовое и торговое оборудование
34	Авиационные и ракетные двигатели
36	Медицинская география
37	Робототехника
38	Оборудование пищевой промышленности
39	Двигатели внутреннего сгорания
41	Ракетостроение и космическая техника
43	Горное и нефтепромысловое машиностроение
44	Тракторы и сельскохозяйственные машины и орудия
45	Трубопроводный транспорт
47	Химическое, нефтеперерабатывающее и полимерное машиностроение
48	Машиностроительные материалы, конструкции и расчет деталей машин. Гидропривод
49	Турбостроение. Котлостроение
51	Астрономия
52	Геодезия и аэросъемка
59	Информатика
61	Насосостроение и компрессоростроение. Холодильное машиностроение
62	Исследование космического пространства
63	Сварка
66	Коррозия и защита от коррозии
67А	Методы управления экономикой
67Б	Экономические аспекты организации и техники систем управления
69	Технология и оборудование лесозаготовительного, деревообрабатывающего и целлюлозно-бумажного производства
71	Организация и безопасность дорожного движения
72	Охрана природы и воспроизводство природных ресурсов
73	Исследование Земли из космоса
74	Издательское дело и полиграфия
81	Техническая кибернетика
83	Охрана и улучшение городской среды
84	Системы, приборы и методы контроля качества окружающей среды
85	Технологические аспекты охраны окружающей среды
86	Экология человека
90	Нетрадиционные и возобновляемые источники энергии
98	Риск и безопасность
ЕЕ	Экономия энергии
РС	--	Робототехнические системы
